Sr.,Symbol / Scrip Name,ISIN,MIS(Intraday),BO(Bracket),CO(Cover)
1647,NEELKANTH,INE581D01015,1x,,
1648,KEYFINSERV,INE681C01015,1x,,
1649,REGENTRP,INE769D01016,1x,,
1650,REMIEDEL,INE158G01015,1x,,
1651,AMFORG,INE991A01020,1x,,
1652,ORICONENT,INE730A01022,1x,,
1653,ACROW,INE950D01012,1x,,
1654,JYOTISTRUC,INE197A01024,1x,,
1655,JAYUSH,INE289D01015,1x,,
1656,MANINDS,INE993A01026,5x,5x,5x
1657,MDRNSTL,INE001F01019,1x,,
1658,GUJTLRM,INE145J01032,1x,,
1659,COCHINM,INE105D01013,1x,,
1660,ISWL,INE072A01029,1x,,
1661,ASHIS,INE587D01012,1x,,
1662,PMTELELIN,INE092C01015,1x,,
1663,SMFIL,INE728B01032,1x,,
1664,BLOIN,INE373E01015,1x,,
1665,SSWRL,INE387D01025,1x,,
1666,BAROEXT,INE927K01023,1x,,
1667,PANCHMAHQ,INE798F01010,1x,,
1668,PRADPME,INE770A01010,1x,,
1669,GNRL,INE207H01018,1x,,
1670,MAHASTEEL,INE451L01014,1x,,
1671,NOVIS,INE608C01026,1x,,
1672,TULSYAN,INE463D01016,1x,,
1673,AXELPOLY,INE197C01012,1x,,
1674,SOLIDSTON,INE584G01012,1x,,
1675,SHILGRAVQ,INE960A01017,1x,,
1676,WHITEORG,INE146C01019,1x,,
1677,AROGRANITE,INE210C01013,1x,,
1678,RAJKSYN,INE376L01013,1x,,
1679,DEEPAKSP,INE272C01013,1x,,
1680,LOYALTEX,INE970D01010,1x,,
1681,PBMPOLY,INE501F01018,1x,,
1682,ADINATH,INE207C01019,1x,,
1683,KONARKSY,INE517D01019,1x,,
1684,SURYVANSP,INE431C01023,1x,,
1685,INDIANACRY,INE862B01013,1x,,
1686,VARDMNPOLY,INE835A01029,1x,,
1687,BLACKROSE,INE761G01016,1x,,
1688,MKVENTURES,INE874A01010,1x,,
1689,KUSHIND,INE979D01011,1x,,
1690,SEASONST,INE707B01010,1x,,
1691,ZENIFIB,INE106C01013,1x,,
1692,VIPPYSP,INE660D01017,1x,,
1693,PATSPINLTD,INE790C01014,1x,,
1694,KRRAIL,INE078T01026,1x,,
1695,MANORG,INE370D01013,1x,,
1696,HINDADH,INE074C01013,1x,,
1697,SRIKPRIND,INE009C01019,1x,,
1698,JYOTIRES,INE577D01013,1x,,
1699,MHLXMIRU,INE112D01035,1x,,
1700,WINSOMTX,INE837B01031,1x,,
1701,MURUDCERA,INE692B01014,1x,,
1702,SAINTGOBAIN,INE068B01017,1x,,
1703,MADHAV,INE925C01016,1x,,
1704,HALDYNGL,INE506D01020,1x,,
1705,DUROPLY,INE932D01010,1x,,
1706,SHREYANIND,INE231C01019,1x,,
1707,AGIOPAPER,INE112C01011,1x,,
1708,PAKKA,INE551D01018,1x,,
1709,NRAIL,INE740D01017,1x,,
1710,STHINPA,INE088G01014,1x,,
1711,FAMILYCARE,INE146N01016,1x,,
1712,RIR,INE302D01016,1x,,
1713,SALZERELEC,INE457F01013,5x,5x,5x
1714,JETKINGQ,INE919C01019,1x,,
1715,PCS,INE834B01012,1x,,
1716,SPELS,INE252A01019,1x,,
1717,EDVENSWA,INE125G01014,1x,,
1718,CALCOM,INE216C01010,1x,,
1719,GUJARATPOLY,INE541F01022,1x,,
1720,GIPCL,INE162A01010,5x,5x,5x
1721,GUJINTRX,INE877E01015,1x,,
1722,PANELEC,INE648E01010,1x,,
1723,LEENEE,INE791B01014,1x,,
1724,PATELSAI,INE082C01024,1x,,
1725,ATHENAGLO,INE576B01019,1x,,
1726,ELNET,INE033C01019,1x,,
1727,DHINDIA,INE589D01018,1x,,
1728,CENTUM,INE320B01020,5x,5x,5x
1729,NHCFOODS,INE141C01036,1x,,
1730,MODINATUR,INE537F01012,1x,,
1731,ZKHANDEN,INE687W01010,1x,,
1732,VADILENT,INE693D01018,1x,,
1733,RGRL,INE601N01010,1x,,
1734,WILLAMAGOR,INE210A01017,1x,,
1735,MODAIRY,INE617B01011,1x,,
1736,BAMBINO,INE921D01013,1x,,
1737,VSFPROJ,INE923K01014,1x,,
1738,POONADAL,INE809E01018,1x,,
1739,SHINDL,INE220Z01013,1x,,
1740,PIONAGR,INE062E01014,1x,,
1741,NARBADA,INE540C01021,1x,,
1742,CIANAGRO,INE052V01019,1x,,
1743,TAIIND,INE358D01018,1x,,
1744,NKIND,INE542C01019,1x,,
1745,ASIANTNE,INE822B01017,1x,,
1746,HERITGFOOD,INE978A01027,1x,,
1747,SIMRAN,INE354D01017,1x,,
1748,MAHAANF,INE734D01010,1x,,
1749,MUNJALAU,INE672B01032,5x,5x,5x
1750,JAYBARMARU,INE571B01036,5x,5x,5x
1751,RACLGEAR,INE704B01017,1x,,
1752,SAMKRG,INE706B01012,1x,,
1753,ASAL,INE900C01027,5x,5x,5x
1754,ABCINDQ,INE125D01011,1x,,
1755,BALTE,INE654B01014,1x,,
1756,SIBARAUT,INE441C01014,1x,,
1757,STARLOG,INE580C01019,1x,,
1758,TITANIN,INE807M01023,1x,,
1759,OCTAVE,INE814L01013,1x,,
1760,PASARI,INE604F01010,1x,,
1761,AMARJOTHI,INE484D01012,1x,,
1762,OLYMPTX,INE482O01021,1x,,
1763,SUDTIND-B,INE691D01012,1x,,
1764,SBFL,INE363D01018,1x,,
1765,PRIMEURB,INE419E01024,1x,,
1766,SLSTLQ,INE456D01010,1x,,
1767,SUPERSPIN,INE662A01027,1x,,
1768,SAMTEX,INE931D01020,1x,,
1769,DAMODARIND,INE497D01022,1x,,
1770,SANBLUE,INE602D01027,1x,,
1771,UNIROYAL,INE980D01019,1x,,
1772,TATIAGLOB,INE083G01031,1x,,
1773,SRINACHA,INE443E01016,1x,,
1774,SAMBANDAM,INE304D01012,1x,,
1775,KANDAGIRI,INE292D01019,1x,,
1776,AUSTENG,INE759F01012,1x,,
1777,HITECHGEAR,INE127B01011,1x,,
1778,BIRLAPREC,INE372E01025,1x,,
1779,YUKEN,INE384C01016,1x,,
1780,VOITHPAPR,INE285C01015,1x,,
1781,INDSILHYD,INE867D01018,1x,,
1782,ITL,INE478D01014,1x,,
1783,FRONTSP,INE572D01014,1x,,
1784,RASANDIK,INE682D01011,1x,,
1785,GUJAPOLLO,INE826C01016,1x,,
1786,TANAA,INE692C01020,1x,,
1787,CONART,INE714D01012,1x,,
1788,VJLAXMIE,INE466D01019,1x,,
1789,AHMDSTE,INE868C01018,1x,,
1790,TIGLOB,INE811B01010,1x,,
1791,BEMHY,INE142E01014,1x,,
1792,ANSALBU,INE030C01015,1x,,
1793,BNRSEC,INE710D01010,1x,,
1794,RISHITECH,INE989D01010,1x,,
1795,SANCTRN,INE391G01012,1x,,
1796,EIHAHOTELS,INE276C01014,1x,,
1797,MEDICAPQ,INE442D01010,1x,,
1798,ABAN,INE421A01028,1x,,
1799,PEARLPOLY,INE844A01013,1x,,
1800,ADVANIHOTR,INE199C01026,1x,,
1801,GVFILM,INE395B01048,1x,,
1802,ADCINDIA,INE833A01016,1x,,
1803,INDBNK,INE969D01012,1x,,
1804,LOTUSCHO,INE026D01011,1x,,
1805,CMMHOSP,INE889F01017,1x,,
1806,APMIN,INE170D01025,1x,,
1807,KRYPTONQ,INE951B01014,1x,,
1808,SWISSMLTRY,INE010C01025,1x,,
1809,MARBU,INE199D01016,1x,,
1810,INDTONER,INE826B01018,1x,,
1811,KUNSTOFF,INE638D01021,1x,,
1812,SIKA,INE438E01016,1x,,
1813,YASHINNO,INE823D01011,1x,,
1814,GOLKUNDIA,INE798D01015,1x,,
1815,DVL,INE477B01010,5x,5x,5x
1816,TIHIL,INE502D01011,1x,,
1817,SOVERDIA,INE959D01013,1x,,
1818,MUKATPIP,INE862C01029,1x,,
1819,INNOVTEC,INE965C01038,1x,,
1820,SUPTANERY,INE460D01038,1x,,
1821,AXTEL,INE767C01012,1x,,
1822,HINFLUR,INE806J01013,1x,,
1823,VENLONENT,INE204D01022,1x,,
1824,ALBERTDAVD,INE155C01010,1x,,
1825,TCMLMTD,INE034F01010,1x,,
1826,RESONANCE,INE486D01017,1x,,
1827,AIMCOPEST,INE008B01013,1x,,
1828,GUJTERC,INE499G01013,1x,,
1829,BCLIND,INE412G01024,5x,5x,5x
1830,SHHARICH,INE065E01017,1x,,
1831,ORCHPHARMA,INE191A01027,5x,5x,5x
1832,CAMEXLTD,INE198C01010,1x,,
1833,RIDDHI,INE249D01019,1x,,
1834,CORALAB,INE683E01017,1x,,
1835,KMCSHIL,INE879K01018,1x,,
1836,LAFFANSQ,INE919B01011,1x,,
1837,VIVIDIND,INE737C01023,1x,,
1838,JAYSYNTH,INE263B01022,1x,,
1839,AEONXDIGI,INE994D01010,1x,,
1840,GAGAN,INE076D01016,1x,,
1841,PARKERAC,INE750B01010,1x,,
1842,ALUFLUOR,INE058F01019,1x,,
1843,ARCHITORG,INE078I01011,1x,,
1844,NATCAPSUQ,INE936B01015,1x,,
1845,BIBCL,INE994B01014,1x,,
1846,BASANTGL,INE473E01021,1x,,
1847,TITANBIO,INE150C01011,1x,,
1848,JENBURPH,INE354A01013,1x,,
1849,EMMESSA,INE634B01016,1x,,
1850,EVERESTO,INE334C01029,1x,,
1851,DYNAMIND,INE457C01010,1x,,
1852,BDH,INE278D01018,1x,,
1853,JAUSPOL,INE593O01017,1x,,
1854,POLYCHMP,INE809B01014,1x,,
1855,GALXBRG,INE020S01012,1x,,
1856,RALEGRA,INE427E01027,1x,,
1857,SHERVANI,INE011D01013,1x,,
1858,SUPERTEX,INE881B01054,1x,,
1859,SHETR,INE278C01010,1x,,
1860,MPL,INE343A01016,1x,,
1861,MULTIBASE,INE678F01014,1x,,
1862,LUDLOWJUT,INE983C01015,1x,,
1863,SURJIND,INE170U01011,1x,,
1864,HITECHCORP,INE120D01012,1x,,
1865,BLOOM,INE253C01013,1x,,
1866,MORGAN,INE902C01015,1x,,
1867,AMRAPLIN,INE762C01021,1x,,
1868,MIDEASTP,INE033E01015,1x,,
1869,DIVSHKT,INE410G01010,1x,,
1870,ORIENTLTD,INE609C01024,1x,,
1871,PANJON,INE744D01019,1x,,
1872,GANESHHOUC,INE460C01014,5x,5x,5x
1873,PATINTLOG,INE529D01014,1x,,
1874,OKPLA,INE870B01024,1x,,
1875,ASMTEC,INE867C01010,1x,,
1876,INDRANIB,INE007C01021,1x,,
1877,ELEFLOR,INE152E01013,1x,,
1878,SKYIND,INE765B01018,1x,,
1879,RISHIROOP,INE582D01013,1x,,
1880,ALPINEHOU,INE840D01015,1x,,
1881,SFPIL,INE716K01020,1x,,
1882,SCANPGEOM,INE967B01028,1x,,
1883,ENTRINT,INE439G01019,1x,,
1884,WIMPLAST,INE015B01018,1x,,
1885,PHOTOQUP,INE813B01016,1x,,
1886,EXPOGAS,INE561D01025,1x,,
1887,NATPLAS,INE233D01013,1x,,
1888,MFLINDIA,INE244C01020,1x,,
1889,THAKDEV,INE403F01017,1x,,
1890,BIL,INE828A01016,1x,,
1891,ECOPLAST,INE423D01010,1x,,
1892,ELEMARB,INE095B01010,1x,,
1893,NICCOPAR,INE653C01022,1x,,
1894,NTCIND,INE920C01017,1x,,
1895,GARNET,INE797D01017,1x,,
1896,BRIGHTBR,INE630D01010,1x,,
1897,SHAWGELTIN,INE869A01010,1x,,
1898,VELHO,INE548D01014,1x,,
1899,PRESSURS,INE891E01024,1x,,
1900,DRAGARWQ,INE934C01018,1x,,
1901,DAICHI,INE928C01010,1x,,
1902,AREXMIS,INE480H01011,1x,,
1903,ISFL,INE973B01026,1x,,
1904,RISHILASE,INE988D01012,1x,,
1905,JAINCO,INE966C01010,1x,,
1906,INTECCAP,INE017E01018,1x,,
1907,63MOONS,INE111B01023,1x,,
1908,MKTCREAT,INE944C01017,1x,,
1909,HFIL,INE552B01010,1x,,
1910,SONALAD,INE344I01017,1x,,
1911,HRYNSHP,INE400G01011,1x,,
1912,TYROON,INE945B01016,1x,,
1913,VENUSREM,INE411B01019,1x,,
1914,GUJCRAFT,INE372D01019,1x,,
1915,SHBAJRG,INE402H01015,1x,,
1916,URJA,INE550C01020,1x,,
1917,ASHAPURMIN,INE348A01023,1x,,
1918,SAMYAKINT,INE607G01011,1x,,
1919,TITANSEC,INE090D01017,1x,,
1920,REALECO,INE055E01034,1x,,
1921,VIVANZA,INE984E01035,1x,,
1922,YASHRAJC,INE095C01018,1x,,
1923,SANGHVIMOV,INE989A01032,5x,5x,5x
1924,FRSHTRP,INE795D01011,1x,,
1925,ANUPAM,INE069B01023,1x,,
1926,RAJPACK,INE639C01013,1x,,
1927,SAMRATPH,INE103E01016,1x,,
1928,NPRFIN,INE446D01011,1x,,
1929,NILE,INE445D01013,1x,,
1930,UDAICEMENT,INE225C01029,5x,5x,5x
1931,AMCOIND,INE924B01011,1x,,
1932,KERALAYUR,INE817B01025,1x,,
1933,DAULAT,INE108C01019,1x,,
1934,ODYSSEY,INE213B01019,1x,,
1935,SURATRAML,INE936A01025,1x,,
1936,THEMISMED,INE083B01024,5x,5x,5x
1937,KALLAM,INE629F01025,1x,,
1938,KINGSINFR,INE050N01010,1x,,
1939,KJMCFIN,INE533C01018,1x,,
1940,RAJTUBE,INE497E01012,1x,,
1941,KAYPOWR,INE961B01013,1x,,
1942,SAINIK,INE584B01013,1x,,
1943,SPCAPIT,INE102F01015,1x,,
1944,PAOS,INE791C01012,1x,,
1945,PICCADIL,INE546C01010,1x,,
1946,CHANDRAP,INE368D01025,1x,,
1947,HINDTIN,INE428D01019,1x,,
1948,GODAVARI,INE362C01012,1x,,
1949,PREMCO,INE001E01012,1x,,
1950,ASIANENE,INE276G01015,5x,5x,5x
1951,PRABHHANS,INE428P01013,1x,,
1952,NRBBEARING,INE349A01021,5x,5x,5x
1953,DBSTOCKBRO,INE921B01025,1x,,
1954,VINYOFL,INE526H01011,1x,,
1955,SUMEDHA,INE886B01012,1x,,
1956,CHOKSI,INE865B01016,1x,,
1957,ADORFO,INE853A01022,1x,,
1958,SHIVAAGRO,INE960E01019,1x,,
1959,VALSONQ,INE808A01018,1x,,
1960,TINNARUBR,INE015C01016,1x,,
1961,AKCAPIT,INE701G01012,1x,,
1962,VIRAT,INE467D01017,1x,,
1963,TERAI,INE390D01011,1x,,
1964,PARACABLES,INE074B01023,5x,5x,5x
1965,NCLRESE,INE132F01038,1x,,
1966,EXPLICITFIN,INE335G01019,1x,,
1967,LADDERUP,INE519D01015,1x,,
1968,PRIMAPLA,INE573B01016,1x,,
1969,TELECANOR,INE381G01013,1x,,
1970,AAIL,INE864E01021,1x,,
1971,VIPULORG,INE834D01018,1x,,
1972,GOYALASS,INE912B01032,1x,,
1973,SUPREME,INE822E01011,1x,,
1974,LYKISLTD,INE624M01014,1x,,
1975,ZENLABS,INE546F01013,1x,,
1976,JAGANLAM,INE144C01014,1x,,
1977,ASITCFIN,INE041B01014,1x,,
1978,ENCODE,INE900O01014,1x,,
1979,SUPERBAK,INE897A01011,1x,,
1980,CHALLANI,INE807A01010,1x,,
1981,CEEJAY,INE358C01010,1x,,
1982,SHGANEL,INE400N01017,1x,,
1983,ANNAINFRA,INE336D01014,1x,,
1984,OIVL,INE125F01032,1x,,
1985,BNRUDY,INE355C01016,1x,,
1986,SSPDL,INE838C01011,1x,,
1987,DAIKAFFI,INE789B01018,1x,,
1988,CILSEC,INE830A01012,1x,,
1989,CLIOINFO,INE011B01017,1x,,
1990,SUNSHIEL,INE199E01014,1x,,
1991,HIPOLIN,INE963A01011,1x,,
1992,CIFL,INE345H01016,1x,,
1993,ASIAPAK,INE784M01016,1x,,
1994,RAMINFO,INE357B01022,1x,,
1995,DIANATEA,INE012E01035,1x,,
1996,VIKASECO,INE806A01020,1x,,
1997,SKCIL,INE260E01014,1x,,
1998,INDIAHOME,INE274E01015,1x,,
1999,ROOPAIND,INE443C01010,1x,,
2000,VISAGAR,INE309H01038,1x,,
2001,LIBORD,INE267E01019,1x,,
2002,NEELKAN,INE741D01015,1x,,
2003,CONTILI,INE080G01011,1x,,
2004,VIJSOLX,INE362D01010,1x,,
2005,SHRIKRISH,INE997I01012,1x,,
2006,ALANKIT,INE914E01040,5x,5x,5x
2007,NIHARINF,INE876E01033,1x,,
2008,UNITDCR,INE858C01027,1x,,
2009,ISHANCH,INE561M01018,1x,,
2010,BALUFORGE,INE011E01029,1x,,
2011,INANI,INE635D01027,1x,,
2012,EPSOMPRO,INE601F01016,1x,,
2013,ORGCOAT,INE412E01011,1x,,
2014,CATVISION,INE660B01011,1x,,
2015,ABMKNO,INE850B01026,1x,,
2016,SKPSEC,INE709B01016,1x,,
2017,SYSCHEM,INE121D01036,1x,,
2018,GLANCE,INE580D01017,1x,,
2019,SHILCTECH,INE024F01011,1x,,
2020,TRADEWELL,INE819G01012,1x,,
2021,COLINZ,INE923C01011,1x,,
2022,NLFL,INE606C01012,1x,,
2023,ANJANI,INE364D01032,1x,,
2024,XTGLOBAL,INE547B01028,1x,,
2025,DECOMIC,INE907E01010,1x,,
2026,RASIELEC,INE822D01021,1x,,
2027,SCOOBEEDAY,INE962E01015,1x,,
2028,PRIMAIN,INE723N01012,1x,,
2029,OPTIFIN,INE031G01014,1x,,
2030,PARAGONF,INE015E01012,1x,,
2031,PRATIKSH,INE530D01012,1x,,
2032,REFEXRENEW,INE332F01018,1x,,
2033,NIKKIGL,INE526C01012,1x,,
2034,ELIXIR,INE785D01012,1x,,
2035,NATFIT,INE643C01015,1x,,
2036,ARTEFACT,INE885B01014,1x,,
2037,DHPIND,INE590D01016,1x,,
2038,AVAILFC,INE325G01010,1x,,
2039,INTCAPL,INE366H01012,1x,,
2040,WINPRO,INE974C01022,1x,,
2041,MILESTONE,INE151H01018,1x,,
2042,EKANSH,INE005E01013,1x,,
2043,HASTIFIN,INE671D01014,1x,,
2044,POLYCON,INE262C01014,1x,,
2045,SOURCENTRL,INE679C01027,1x,,
2046,TUNITEX,INE560D01027,1x,,
2047,PWASML,INE523I01016,1x,,
2048,GOLDTECH,INE805A01014,1x,,
2049,POLYLINK,INE323D01020,1x,,
2050,CONTICON,INE545B01022,1x,,
2051,ESARIND,INE404L01039,1x,,
2052,MARIS,INE866D01010,1x,,
2053,SKRABUL,INE561E01015,1x,,
2054,STEP2COR,INE623D01015,1x,,
2055,MAHANIN,INE735D01033,1x,,
2056,RISHDIGA,INE864D01015,1x,,
2057,MAINFRA,INE392G01028,1x,,
2058,JINDWORLD,INE247D01039,5x,5x,5x
2059,RAGHUTOB,INE754B01012,1x,,
2060,VASINFRA,INE192C01013,1x,,
2061,KMFBLDR,INE580H01026,1x,,
2062,BAMPSL,INE802A01037,1x,,
2063,GORANIN,INE792J01015,1x,,
2064,KGPETRO,INE902G01016,1x,,
2065,OROSMITHS,INE628B01034,1x,,
2066,PRAVEG,INE722B01019,1x,,
2067,SURAJLTD,INE713C01016,1x,,
2068,TOKYOFIN,INE546D01018,1x,,
2069,RAINBOWF,INE230F01014,1x,,
2070,TRICOMFRU,INE843F01014,1x,,
2071,PANCHSHEEL,INE316G01019,1x,,
2072,GENNEX,INE509C01026,1x,,
2073,PRAENG,INE505C01016,1x,,
2074,BIOGEN,INE703D01023,1x,,
2075,KACHCHH,INE059E01010,1x,,
2076,KACL,INE229G01022,1x,,
2077,PRERINFRA,INE426H01014,1x,,
2078,METALCO,INE161E01014,1x,,
2079,GANGAPA,INE278O01015,1x,,
2080,TIRSARJ,INE297J01023,1x,,
2081,RODIUM,INE513E01024,1x,,
2082,NAGTECH,INE793H01017,1x,,
2083,LAHOTIOV,INE515C01023,1x,,
2084,ASTAR,INE194D01017,1x,,
2085,BHARATAGRI,INE842D01029,1x,,
2086,SACHEMT,INE433G01020,1x,,
2087,ANJANIFIN,INE283D01018,1x,,
2088,RAHME,INE149D01011,1x,,
2089,REXNORD,INE687C01012,1x,,
2090,KHANDSE,INE060B01014,1x,,
2091,CCLINTER,INE778E01031,1x,,
2092,GALLOPENT,INE755J01012,1x,,
2093,GALAGEX,INE803L01016,1x,,
2094,DHAMPURE,INE956B01013,1x,,
2095,RIBATEX,INE811H01017,1x,,
2096,NEWINFRA,INE997D01021,1x,,
2097,SHREMETAL,INE914B01012,1x,,
2098,IITLPROJ,INE786E01018,1x,,
2099,CHLOGIST,INE558F01026,1x,,
2100,HINDALUMI,INE227B01019,1x,,
2101,SPECFOOD,INE547C01018,1x,,
2102,AMRAAGRI,INE735C01027,1x,,
2103,ODYCORP,INE839E01023,1x,,
2104,INDCTST,INE146H01018,1x,,
2105,FILATFASH,INE185E01021,1x,,
2106,SINDHUTRAD,INE325D01025,5x,5x,5x
2107,UNISTRMU,INE808C01014,1x,,
2108,ZENOTECH,INE486F01012,1x,,
2109,FRONTCORP,INE092D01013,1x,,
2110,SWELECTES,INE409B01013,5x,5x,5x
2111,WALLFORT,INE121B01014,1x,,
2112,KDDL,INE291D01011,5x,5x,5x
2113,ABHICAP,INE516F01016,1x,,
2114,3BBLACKBIO,INE994E01018,1x,,
2115,EPUJA,INE807D01030,1x,,
2116,SBECSUG,INE948G01019,1x,,
2117,BSELALGO,INE395A01016,1x,,
2118,RELIABVEN,INE419H01019,1x,,
2119,HOTLSILV,INE731B01010,1x,,
2120,INDRAMEDCO,INE681B01017,5x,5x,5x
2121,ADROITINFO,INE737B01033,1x,,
2122,DHANBANK,INE680A01011,5x,5x,5x
2123,ITDC,INE353K01014,5x,5x,5x
2124,ARCHIES,INE731A01020,1x,,
2125,BENGALT,INE665D01016,1x,,
2126,TCIIND,INE920B01019,1x,,
2127,TCFCFINQ,INE389D01013,1x,,
2128,GROARC,INE042B01012,1x,,
2129,SHIVACEM,INE555C01029,1x,,
2130,CINEVISTA,INE039B01026,1x,,
2131,DANLAW,INE310B01013,1x,,
2132,OMNIAX,INE369B01019,1x,,
2133,PICTUREHS,INE448B01029,1x,,
2134,MUKTAARTS,INE374B01019,1x,,
2135,NAGPI,INE099E01016,1x,,
2136,DSSL,INE417B01040,5x,5x,5x
2137,RAMCOSYS,INE246B01019,5x,5x,5x
2138,VIRINCHI,INE539B01017,1x,,
2139,MRO-TEK,INE398B01018,1x,,
2140,FIRSTFIN,INE683B01047,1x,,
2141,BABA,INE893A01036,1x,,
2142,TYCHE,INE443B01012,1x,,
2143,CALSOFT,INE526B01014,1x,,
2144,PNC,INE392B01011,1x,,
2145,AXISCADES,INE555B01013,5x,5x,5x
2146,AVANTEL,INE005B01027,5x,5x,5x
2147,MOSCHIP,INE935B01025,1x,,
2148,MEGASOFT,INE933B01012,1x,,
2149,TRANSCOR,INE330E01023,1x,,
2150,GENUSPRIME,INE256D01014,1x,,
2151,BFUTILITIE,INE243D01012,1x,,
2152,UNITDSPR,INE854D01024,5x,5x,5x
2153,HAZOOR,INE550F01049,1x,,
2154,KAMAHOLD,INE411F01010,1x,,
2155,BLIL,INE525F01025,1x,,
2156,RAJPALAYAM,INE296E01026,1x,,
2157,BAGFILMS,INE116D01028,1x,,
2158,MORARJEE,INE161G01027,1x,,
2159,POCL,INE063E01053,1x,,
2160,JPPOWER,INE351F01018,5x,5x,5x
2161,CYBERMEDIA,INE278G01037,1x,,
2162,MCLEODRUSS,INE942G01012,1x,,
2163,FACORALL,INE828G01013,1x,,
2164,SASKEN,INE231F01020,5x,5x,5x
2165,FCSSOFT,INE512B01022,1x,,
2166,SUZLON,INE040H01021,1x,1x,1x
2167,AURIONPRO,INE132H01018,5x,5x,5x
2168,BASML,INE186H01022,1x,,
2169,PBAINFRA,INE160H01019,1x,,
2170,KERNEX,INE202H01019,1x,,
2171,ASMS,INE855F01042,1x,,
2172,CELEBRITY,INE185H01016,1x,,
2173,SAKUMA,INE190H01024,1x,,
2174,BLKASHYAP,INE350H01032,1x,,
2175,MPDL,INE493H01014,1x,,
2176,LOKESHMACH,INE397H01017,5x,5x,5x
2177,KAMDHENU,INE390H01012,5x,5x,5x
2178,PAUSHAKLTD,INE111F01016,1x,,
2179,GTNTEX,INE302H01017,1x,,
2180,DEEPENR,INE677H01012,1x,,
2181,HOVS,INE596H01014,1x,,
2182,JHS,INE544H01014,1x,,
2183,GTLINFRA,INE221H01019,1x,,
2184,TV18BRDCST,INE886H01027,1x,,
2185,CINELINE,INE704H01022,1x,,
2186,SMSPHARMA,INE812G01025,5x,5x,5x
2187,ORIENTALTL,INE998H01012,1x,,
2188,ELAND,INE311H01018,1x,,
2189,AMDIND,INE005I01014,1x,,
2190,TGBHOTELS,INE797H01018,1x,,
2191,HARYNACAP,INE928H01019,1x,,
2192,SSLEL,INE117H01019,1x,,
2193,REFEX,INE056I01025,1x,,
2194,TAKE,INE142I01023,1x,,
2195,VTMLTD,INE222F01029,1x,,
2196,MAGNUM,INE387I01016,1x,,
2197,PAISALO,INE420C01059,5x,5x,5x
2198,MAANALU,INE215I01027,1x,,
2199,PARLEIND,INE272G01014,1x,,
2200,RATHIBAR,INE575I01016,1x,,
2201,BANG,INE863I01016,1x,,
2202,DHANI,INE274G01010,5x,5x,5x
2203,NIRAJ,INE368I01016,1x,,
2204,LGBFORGE,INE201J01017,1x,,
2205,VEDAVAAG,INE359B01010,1x,,
2206,BENGALASM,INE083K01017,1x,,
2207,SURYAAMBA,INE360J01011,1x,,
2208,RTNPOWER,INE399K01017,1x,,
2209,DBCORP,INE950I01011,5x,5x,5x
2210,THANGAMAYL,INE085J01014,5x,5x,5x
2211,TEXMOPIPES,INE141K01013,1x,,
2212,TAMBOLIIN,INE864J01012,1x,,
2213,GKB,INE265D01015,1x,,
2214,EMAMIREAL,INE778K01012,1x,,
2215,AHLEAST,INE926K01017,1x,,
2216,RAMKY,INE874I01013,5x,5x,5x
2217,GREENPOWER,INE999K01014,5x,5x,5x
2218,CANTABIL,INE068L01024,5x,5x,5x
2219,BEDMUTHA,INE844K01012,1x,,
2220,KTIL,INE096L01025,1x,,
2221,PSB,INE608A01012,5x,5x,5x
2222,FMNL,INE360L01017,1x,,
2223,SURANASOL,INE272L01022,1x,,
2224,JUBLINDS,INE645L01011,1x,,
2225,ZENTEC,INE251B01027,1x,,
2226,PFS,INE560K01014,5x,5x,5x
2227,VMS,INE932K01015,1x,,
2228,ENKEIWHEL,INE130L01014,1x,,
2229,INVENTURE,INE878H01024,1x,,
2230,TREEHOUSE,INE040M01013,1x,,
2231,BROOKS,INE650L01011,1x,,
2232,VASWANI,INE590L01019,1x,,
2233,LESHAIND,INE050L01048,1x,,
2234,INDOTHAI,INE337M01013,1x,,
2235,FERVENTSYN,INE258M01011,1x,,
2236,PMCFIN,INE793G01035,1x,,
2237,FUTSOL,INE241F01011,1x,,
2238,AIML,INE123D01024,1x,,
2239,OLPCL,INE550L01013,1x,,
2240,MAXHEIGHTS,INE393F01010,1x,,
2241,WAAREERTL,INE299N01021,1x,,
2242,SRGHFL,INE559N01010,1x,,
2243,COMCL,INE456N01019,1x,,
2244,SHANTIGURU,INE892L01019,1x,,
2245,CASPIAN,INE176N01021,1x,,
2246,VIRTUALG,INE247C01023,1x,,
2247,STEELXIND,INE503B01021,1x,,
2248,PCJEWELLER,INE785M01013,1x,,
2249,MUKTA,INE160O01031,1x,,
2250,SBISENSEX,INF200K01VT2,1x,,
2251,BMAL,INE583M01012,1x,,
2252,GCMSECU,INE168O01026,1x,,
2253,NIBL,INE047O01014,1x,,
2254,KIFS,INE902D01013,1x,,
2255,SVGLOBAL,INE159L01013,1x,,
2256,OONE,INE860E01011,1x,,
2257,IFINSEC,INE474O01010,1x,,
2258,BRAHMINFRA,INE320I01017,1x,,
2259,AMPVOLTS,INE989J01017,1x,,
2260,KHOOBSURAT,INE731G01027,1x,,
2261,MMLF,INE340O01021,1x,,
2262,ALSL,INE030P01017,1x,,
2263,GCMCOMM,INE200P01016,1x,,
2264,TIGERLOGS,INE906O01029,1x,,
