EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,BUY_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,SM_UPPER_LIMIT,SM_LOWER_LIMIT,SM_FREEZE_QTY,
BSE,I,99,NA,INDEX,99,CAPINS,CAPINS,BSE Capital Markets & Insurance,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,284,NA,INDEX,284,NIFTY DIV OPPS 50,NIFTY DIV OPPS 50,Nifty Dividend Opportunities 50,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,285,NA,INDEX,285,NIFTY GROWSECT 15,NIFTY GROWSECT 15,Nifty Growth Sectors 15,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,286,NA,INDEX,286,NIFTY50 VALUE 20,NIFTY50 VALUE 20,Nifty50 Value 20 Index,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,287,NA,INDEX,287,NIFTY100 QUALTY30,NIFTY100 QUALTY30,Nifty100 Qualty30,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,301,NA,INDEX,301,BHRT22,BHRT22,BSE Bharat 22 Index,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,302,NA,INDEX,302,GREENX,GREENX,BSE Greenex,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,303,NA,INDEX,303,BSEIPO,BSEIPO,BSE IPO,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,304,NA,INDEX,304,SMEIPO,SMEIPO,BSE SME IPO,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,305,NA,INDEX,305,CARBON,CARBON,CARBON,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,307,NA,INDEX,307,DFRGRI,DFRGRI,DFRGRI,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,309,NA,INDEX,309,SML250,SML250,BSE 250 Small Cap,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,310,NA,INDEX,310,SNXT50,SNXT50,Sensex Next 50 Index,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,442,NA,INDEX,442,MIDCPNIFTY,MIDCPNIFTY,Nifty Midcap Select,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,443,NA,INDEX,443,NIFTY TOTAL MKT,NIFTY TOTAL MKT,Nifty Total mkt,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,444,NA,INDEX,444,NIFTY MICROCAP250,NIFTY MICROCAP250,Nifty Microcap 250,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
